# ALMA_Band  Wavelength_min(mm)   Wavelength_max(mm)   Noise_Temp_K    Freq_min(GHz)   Freq_max(GHz)  
  1          6                    8.6                  32              35              50             
  2          2.6                  4.5                  47              67              116            
  3          2.6                  3.6                  60              84              116            
  4          1.8                  2.4                  82              125             163            
  5          1.4                  1.8                  105             163             211            
  6          1.1                  1.4                  136             211             275            
  7          0.8                  1.1                  219             275             373            
  8          0.6                  0.8                  292             385             500            
  9          0.4                  0.5                  261             602             720            
  10         0.3                  0.4                  344             787             950            
